id,source_type,platform,title,creator,source_url,published_at,language,status,priority,raw_path,normalized_path,tags,notes
dk-youtube-channel,youtube-channel,youtube,Dan Koe Talks Channel,Dan Koe,https://youtube.com/c/DanKoeTalks,,en,seeded,high,corpus/youtube/0000-00-00-youtube-channel-dan-koe-talks.md,,distribution;video;channel,official channel entry
dk-x-profile,social-profile,x,Dan Koe X Profile,Dan Koe,https://twitter.com/thedankoe,,en,seeded,high,corpus/social/x/0000-00-00-x-profile-thedankoe.md,,social;x;short-form,official profile entry
dk-linkedin-profile,social-profile,linkedin,Dan Koe LinkedIn Profile,Dan Koe,https://linkedin.com/in/thedankoe,,en,seeded,high,corpus/social/linkedin/0000-00-00-linkedin-profile-thedankoe.md,,social;linkedin;articles,official profile entry
dk-koe-cast-show,podcast-show,podcast,The Koe Cast,Dan Koe,https://podcasts.apple.com/us/podcast/the-koe-cast/id1566479559,,en,seeded,high,corpus/podcasts/0000-00-00-the-koe-cast-show-page.md,,podcast;show;long-form,official show page
dk-write-deep-ideas-2025-05-06,newsletter,newsletter,Full Guide: How I Write About Deep Ideas & Still Go Viral,Dan Koe,https://letters.thedankoe.com/p/full-guide-how-i-write-about-deep,2025-05-06,en,summarized,high,corpus/newsletters/2025-05-06-full-guide-how-i-write-about-deep-ideas.md,corpus/normalized/dk-write-deep-ideas-2025-05-06.md,writing;content;positioning,public preview captured and summarized from visible lines
dk-purpose-profit-guide-2025-05-25,newsletter,newsletter,Purpose & Profit - A Guide To Discovering Your Life's Work,Dan Koe,https://letters.thedankoe.com/p/purpose-and-profit-a-guide-to-discovering,2025-05-25,en,summarized,high,corpus/newsletters/2025-05-25-purpose-and-profit-a-guide-to-discovering-your-lifes-work.md,corpus/normalized/dk-purpose-profit-guide-2025-05-25.md,book;purpose;profit,high-fidelity structured summary from official page
dk-personal-brand-2025-05-29,newsletter,newsletter,how to build a better personal brand than 99% of people,Dan Koe,https://letters.thedankoe.com/p/how-to-build-a-better-personal-brand,2025-05-29,en,summarized,high,corpus/newsletters/2025-05-29-how-to-build-a-better-personal-brand-than-99-of-people.md,corpus/normalized/dk-personal-brand-2025-05-29.md,brand;trust;monetization,high-fidelity structured summary from official page
dk-one-person-business-launchpad-2025-06-10,course,course,Full Course: The One-Person Business Launchpad,Dan Koe,https://letters.thedankoe.com/p/full-course-the-one-person-business,2025-06-10,en,summarized,high,corpus/courses/2025-06-10-full-course-the-one-person-business-launchpad.md,corpus/normalized/dk-one-person-business-launchpad-2025-06-10.md,course;one-person-business;offer,high-fidelity structured summary from official course page
dk-36-months-2025-07-22,newsletter,newsletter,You have about 36 months to make it,Dan Koe,https://thedankoe.com/letters/you-have-about-36-months-to-make-it/,2025-07-22,en,summarized,high,corpus/newsletters/2025-07-22-you-have-about-36-months-to-make-it.md,corpus/normalized/dk-36-months-2025-07-22.md,ai;future;taste,high-fidelity structured summary from official essay
dk-point-of-view-2025-07-31,newsletter,newsletter,You don't need a niche you need a point of view,Dan Koe,https://thedankoe.com/letters/you-dont-need-a-niche-you-need-a-point-of-view/,2025-07-31,en,summarized,high,corpus/newsletters/2025-07-31-you-dont-need-a-niche-you-need-a-point-of-view.md,corpus/normalized/dk-point-of-view-2025-07-31.md,point-of-view;niche;creator,high-fidelity structured summary from official essay
